2026-03-31 22:16:30,079 | INFO | scheduler | Scheduler stopped
2026-03-31 22:16:31,891 | INFO | scheduler | Scheduler started
2026-03-31 22:16:32,368 | WARNING | scheduler | Invalid timezone '2026-03-31T13:59:31.989+00:00', falling back to UTC+5:30
2026-03-31 22:16:32,368 | ERROR | scheduler | Failed to register schedule_id=69cbd343f1650132d9a3 db_config_id=69c02c16ea00af41f826 error='No time zone found with key UTC+5:30'
2026-03-31 22:16:32,369 | WARNING | scheduler | Invalid timezone '2026-03-31T14:03:43.546+00:00', falling back to UTC+5:30
2026-03-31 22:16:32,369 | ERROR | scheduler | Failed to register schedule_id=69cbd43f851750f4eda9 db_config_id=69c02c16ea00af41f826 error='No time zone found with key UTC+5:30'
2026-03-31 22:16:32,369 | WARNING | scheduler | Invalid timezone '2026-03-31T16:31:13.920+00:00', falling back to UTC+5:30
2026-03-31 22:16:32,369 | ERROR | scheduler | Failed to register schedule_id=69cbf6d1e0a0229fc178 db_config_id=69c02c16ea00af41f826 error='No time zone found with key UTC+5:30'
2026-03-31 22:16:32,370 | WARNING | scheduler | Invalid timezone '2026-03-31T16:45:42.077+00:00', falling back to UTC+5:30
2026-03-31 22:16:32,370 | ERROR | scheduler | Failed to register schedule_id=69cbfa3612a6242633e4 db_config_id=69c02c16ea00af41f826 error='No time zone found with key UTC+5:30'
2026-03-31 22:17:15,206 | WARNING | scheduler | Invalid timezone '2026-03-31T16:47:15.121+00:00', falling back to UTC+5:30
2026-03-31 22:18:41,894 | INFO | scheduler | Scheduler stopped
2026-03-31 22:18:43,941 | INFO | scheduler | Scheduler started
2026-03-31 22:18:44,230 | WARNING | scheduler | Invalid timezone '2026-03-31T13:59:31.989+00:00', falling back to Asia/Kolkata
2026-03-31 22:18:44,231 | INFO | scheduler | Scheduled job 69cbd343f1650132d9a3 with cron=cron[month='*', day='*', day_of_week='*', hour='19', minute='30']
2026-03-31 22:18:44,232 | WARNING | scheduler | Invalid timezone '2026-03-31T14:03:43.546+00:00', falling back to Asia/Kolkata
2026-03-31 22:18:44,232 | INFO | scheduler | Scheduled job 69cbd43f851750f4eda9 with cron=cron[month='*', day='*', day_of_week='*', hour='19', minute='35']
2026-03-31 22:18:44,233 | WARNING | scheduler | Invalid timezone '2026-03-31T16:31:13.920+00:00', falling back to Asia/Kolkata
2026-03-31 22:18:44,233 | INFO | scheduler | Scheduled job 69cbf6d1e0a0229fc178 with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='2']
2026-03-31 22:18:44,233 | WARNING | scheduler | Invalid timezone '2026-03-31T16:45:42.077+00:00', falling back to Asia/Kolkata
2026-03-31 22:18:44,233 | INFO | scheduler | Scheduled job 69cbfa3612a6242633e4 with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='17']
2026-03-31 22:18:44,234 | WARNING | scheduler | Invalid timezone '2026-03-31T16:47:15.121+00:00', falling back to Asia/Kolkata
2026-03-31 22:18:44,234 | INFO | scheduler | Scheduled job 69cbfa931d7f86f81dce with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='19']
2026-03-31 22:19:00,004 | INFO | backup | Backup started user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826
2026-03-31 22:19:04,378 | INFO | backup | Backup connecting database user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 database=mydb
2026-03-31 22:19:04,660 | INFO | backup | Backup file encrypted successfully user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 file=mysql_mydb_20260331_164904.sql.gz.enc
2026-03-31 22:19:06,797 | INFO | backup | Backup completed user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 backup_id=69cbfb02b0f489ae6cb0 status=success file=mysql_mydb_20260331_164904.sql.gz.enc size=1590
2026-03-31 22:19:06,797 | INFO | scheduler | Scheduled backup finished schedule_id=69cbfa931d7f86f81dce
2026-03-31 22:23:11,305 | WARNING | scheduler | Invalid timezone '2026-03-31T16:53:11.238+00:00', falling back to Asia/Kolkata
2026-03-31 22:23:11,306 | INFO | scheduler | Scheduled job 69cbfbf739ff90a5878f with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='24']
2026-03-31 22:23:11,306 | WARNING | scheduler | Invalid timezone '2026-03-31T16:53:11.238+00:00', falling back to Asia/Kolkata
2026-03-31 22:24:00,001 | INFO | backup | Backup started user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826
2026-03-31 22:24:00,315 | INFO | backup | Backup connecting database user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 database=mydb
2026-03-31 22:24:00,346 | INFO | backup | Backup file encrypted successfully user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 file=mysql_mydb_20260331_165400.sql.gz.enc
2026-03-31 22:24:01,318 | INFO | backup | Backup completed user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 backup_id=69cbfc293eddaed314e1 status=success file=mysql_mydb_20260331_165400.sql.gz.enc size=1588
2026-03-31 22:24:01,319 | INFO | scheduler | Scheduled backup finished schedule_id=69cbfbf739ff90a5878f
2026-03-31 22:28:51,499 | WARNING | scheduler | Invalid timezone '2026-03-31T16:58:51.429+00:00', falling back to Asia/Kolkata
2026-03-31 22:28:51,500 | INFO | scheduler | Scheduled job 69cbfd4b689941fc2f7c with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='29']
2026-03-31 22:28:51,501 | WARNING | scheduler | Invalid timezone '2026-03-31T16:58:51.429+00:00', falling back to Asia/Kolkata
2026-03-31 22:29:00,005 | INFO | backup | Backup started user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826
2026-03-31 22:29:00,410 | INFO | backup | Backup connecting database user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 database=mydb
2026-03-31 22:29:00,451 | INFO | backup | Backup file encrypted successfully user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 file=mysql_mydb_20260331_165900.sql.gz.enc
2026-03-31 22:29:01,514 | INFO | backup | Backup completed user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 backup_id=69cbfd55612d879f8b72 status=success file=mysql_mydb_20260331_165900.sql.gz.enc size=1588
2026-03-31 22:29:01,527 | INFO | scheduler | Scheduled backup finished schedule_id=69cbfd4b689941fc2f7c
2026-03-31 22:38:46,553 | WARNING | scheduler | Invalid timezone '2026-03-31T17:08:46.472+00:00', falling back to Asia/Kolkata
2026-03-31 22:38:46,554 | INFO | scheduler | Scheduled job 69cbff9e7325b7dccb21 with cron=cron[month='*', day='*', day_of_week='*', hour='22', minute='40']
2026-03-31 22:38:46,555 | WARNING | scheduler | Invalid timezone '2026-03-31T17:08:46.472+00:00', falling back to Asia/Kolkata
2026-03-31 22:40:00,008 | INFO | backup | Backup started user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826
2026-03-31 22:40:00,430 | INFO | backup | Backup connecting database user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 database=mydb
